School_ID,Short_Name,Year,Rating_Status,Graduation_Rate_School,School_Type,College_Enrollment_Rate_School,Dimension_1,Dimension_2
610249,TALMAN,2016-2017,Good Standing,,Neighborhood,,-0.1429588263043367,-0.5713669159745179
610197,TALCOTT,2016-2017,Good Standing,,Neighborhood,,0.04496169874218728,-0.49894370789326725
609867,COOPER,2016-2017,Good Standing,,Neighborhood,,0.008570839086790447,-0.627516089179055
610095,NEWBERRY,2016-2017,Good Standing,,Magnet,,-0.08670524882020074,0.4773092590509794
609777,ARMOUR,2016-2017,Good Standing,,Neighborhood,,-0.6904445077323127,-0.20789158810092878
610037,LIBBY,2016-2017,Provisional Support,,Neighborhood,,-0.8474802104724592,0.49767217402451974
610179,SMYSER,2016-2017,Good Standing,,Neighborhood,,1.9420885842401567,-0.9034379129186207
609879,DAWES,2016-2017,Good Standing,,Neighborhood,,1.8653662620049323,-1.0083742681460521
610308,RUDOLPH,2016-2017,Good Standing,,Special Education,,-1.4252229826453464,0.13064117507202494
609754,CHICAGO MILITARY HS,2016-2017,Good Standing,85.4,Military academy,44.8,-1.0165884038241857,0.06959328663722035
609935,GALLISTEL,2016-2017,Good Standing,,Magnet,,1.2398292908671136,-1.1343238860249238
610117,PASTEUR,2016-2017,Good Standing,,Neighborhood,,0.8883868996962859,-1.0291654511700647
609866,COONLEY,2016-2017,Good Standing,,Regional gifted center,,1.5544527507783943,-0.20443206365704272
609803,BLAINE,2016-2017,Good Standing,,Neighborhood,,1.2020847923611107,-0.08641095081237042
610207,VANDERPOEL,2016-2017,Good Standing,,Magnet,,-1.1705592945468812,0.7450377777195246
609996,HOLDEN,2016-2017,Good Standing,,Neighborhood,,0.33913478620290355,-0.2971009040978235
609955,GRESHAM,2016-2017,Intensive Support,,Neighborhood,,-1.09323752846169,0.7815497542103066
610256,ROBINSON,2016-2017,Intensive Support,,Neighborhood,,-1.5974579083692122,0.39488872063818736
610257,MORTON,2016-2017,Intensive Support,,Neighborhood,,-1.084070913035919,0.6866715895041272
609863,COLUMBUS,2016-2017,Good Standing,,Neighborhood,,-0.5782284563319399,-0.008602426848867355
609780,MARINE LEADERSHIP AT AMES HS,2016-2017,Good Standing,,Military academy,46.2,1.341672491170483,-1.7487147927376196
610581,MAGIC JOHNSON - BRAINERD HS,2016-2017,Provisional Support,,Citywide-Option,,-1.4764691552817306,0.4664144377581674
610290,MAYS,2016-2017,Intensive Support,,Neighborhood,,-0.9610097787147807,0.8965280503747609
610093,NEIL,2016-2017,Intensive Support,,Neighborhood,,-1.2502935363666596,0.6726905479077723
610006,HURLEY,2016-2017,Good Standing,,Neighborhood,,1.3740659646473183,-1.259011411063906
609902,METCALFE,2016-2017,Provisional Support,,Neighborhood,,-0.9381812501147069,0.9173229400286653
609745,SOUTHSIDE HS,2016-2017,Good Standing,,Special Education,2.1,-2.6369019594054834,-2.667272643398582
610141,RAVENSWOOD,2016-2017,Good Standing,,Neighborhood,,0.08502016905252141,-0.11112970484034933
609791,BASS,2016-2017,Provisional Support,,Neighborhood,,-0.774707506799966,1.0426764099770067
609872,PEREZ,2016-2017,Good Standing,,Neighborhood,,-0.6063534536824243,-0.3651649215497171
609947,GRAHAM ES,2016-2017,Good Standing,,Neighborhood,,-0.22442583618336231,-0.05135264225189902
609830,BRUNSON,2016-2017,Provisional Support,,Neighborhood,,-0.60945719818221,0.9803618770708222
609961,NINOS HEROES,2016-2017,Intensive Support,,Neighborhood,,-0.9261823144230286,0.7229223052793501
610368,HUGHES L,2016-2017,Intensive Support,,Neighborhood,,-0.7678576082535957,1.0405544622261778
610147,ROGERS,2016-2017,Good Standing,,Neighborhood,,1.3605897781167917,-0.08484408913086976
609900,CURTIS,2016-2017,Intensive Support,,Neighborhood,,-0.6076517560245318,1.0699959238594658
610339,STAGG,2016-2017,Intensive Support,,Neighborhood,,-0.8679991441138775,0.9755932462201029
609734,TAFT HS,2016-2017,Good Standing,85.2,Neighborhood,63.0,11.365153471681465,-1.4546484682657912
610362,EVERS,2016-2017,Good Standing,,Neighborhood,,-1.1044352265534698,0.705992939377884
610524,ALCOTT HS,2016-2017,Good Standing,87.1,Small,59.6,-0.29429175990596634,0.49595307450484905
609833,CALDWELL,2016-2017,Good Standing,,Neighborhood,,-1.1335940489529912,0.678366598611494
609908,ESMOND,2016-2017,Good Standing,,Neighborhood,,-1.0650885261370493,0.7040977623988446
609708,FOREMAN HS,2016-2017,Intensive Support,65.2,Neighborhood,44.6,0.34012208115928794,-2.067278649287665
609910,FALCONER,2016-2017,Good Standing,,Neighborhood,,2.698563136377431,-1.7227532135989176
609836,CANTY,2016-2017,Good Standing,,Neighborhood,,1.4366074834615148,-0.4873015781471997
610059,MAYER,2016-2017,Good Standing,,Magnet,,0.6994324685004529,0.10456547036371207
400137,LITTLE BLACK PEARL HS,2016-2017,Good Standing,,Charter,66.7,-1.0897570776219014,1.048196142356081
609891,DOOLITTLE,2016-2017,Intensive Support,,Neighborhood,,-1.2041336363014572,0.7028847802412254
609987,HENDRICKS,2016-2017,Good Standing,,Neighborhood,,-1.1476242942289905,0.5807757274907566
609969,HARTE,2016-2017,Good Standing,,Neighborhood,,-0.9883074062576991,0.6957175198423258
610102,OGLESBY,2016-2017,Intensive Support,,Neighborhood,,-0.7018772227608006,1.162900227774829
610077,MORRILL,2016-2017,Good Standing,,Neighborhood,,0.45754065433869184,-0.15859711806928262
609782,AUDUBON,2016-2017,Good Standing,,Neighborhood,,0.15903529577092773,-0.06379001197315891
610177,SKINNER,2016-2017,Good Standing,,Classical,,1.60807555136444,0.8562155364270387
610136,PRESCOTT,2016-2017,Good Standing,,Neighborhood,,-0.3248883419536983,0.04573413621319655
610194,SUMNER,2016-2017,Good Standing,,Neighborhood,,-1.106525566380594,0.7166055847282533
609968,MCAULIFFE,2016-2017,Provisional Support,,Neighborhood,,0.8995755776997382,-0.9621407148616158
610110,WELLS ES,2016-2017,Good Standing,,Small,,-0.7892269607649324,0.8471481879803877
609726,BROOKS HS,2016-2017,Good Standing,93.4,Selective enrollment,85.1,1.8447983871416171,3.9927332952021843
609709,GAGE PARK HS,2016-2017,Intensive Support,68.7,Neighborhood,21.8,-2.088640093163218,-2.5812720864199945
609804,BOONE,2016-2017,Good Standing,,Neighborhood,,1.8500032209160746,-0.38538237782419177
609904,ELLINGTON,2016-2017,Good Standing,,Neighborhood,,-0.5221476319130789,1.1165941633686132
610499,COLLINS HS,2016-2017,Intensive Support,58.9,Small,41.2,-2.1501369723344133,-1.4547290722100117
609928,FULLER,2016-2017,Intensive Support,,Neighborhood,,-0.9812529459476775,0.8857917127219644
